id,type,label,sub,description,amount,icon,eventScene,weight,enabled
event-032,event,海辺の散歩,思い出,潮風を浴びて気分転換しました,4000,🌊,,1,true
event-033,event,山の展望台,思い出,高い場所から未来を見渡しました,5000,⛰️,,1,true
event-034,event,旅先のアルバイト,副収入,旅の経験が収入につながりました,13000,🧳,freelance,1,true
event-035,event,海外の友人,仲間,遠くの友人とつながりました,9000,🌏,friends,1,true
event-036,event,語学の一歩,学び,新しい言葉を覚えました,-7000,🗣️,,1,true
event-037,event,通訳を頼まれる,副収入,身につけた力が役に立ちました,18000,🌐,freelance,1,true
event-038,event,入社,新しい職場,今日から仕事の物語が始まります,15000,🏢,office,1,true
event-039,event,初ボーナス,ラッキー,最初の成果が認められました,18000,🎁,,1,true
event-040,event,先輩の助言,いいこと,仕事のコツを教えてもらいました,8000,💬,,1,true
event-041,event,スキルアップ,自己投資,将来のために道具をそろえました,-7000,💡,,1,true
event-042,event,昇進,チャンス,責任と収入が少し増えました,26000,📈,success,0.8,true
event-043,event,新しい名刺,仕事,新しい役割を任されました,12000,🪪,,1,true
event-044,event,会議の成功,仕事,提案がみんなに認められました,17000,📊,success,1,true
event-045,event,出張の手当,収入,出張先で経験と手当を得ました,14000,🧳,,1,true
event-046,event,仕事道具を購入,自己投資,仕事の道具を新しくしました,-11000,🧰,,1,true
event-047,event,職場のランチ,仲間,同僚と親しくなりました,-3000,🍱,,1,true
event-048,event,在宅勤務の環境,大きな買い物,机と椅子を整えました,-20000,🖥️,,1,true
event-049,event,副業が好調,副収入,小さな仕事が大きく育ちました,16000,💻,freelance,1.2,true
event-050,event,夜の残業,出費,忙しい日々を乗り切りました,10000,🌙,,1,true
event-051,event,会社の表彰,大成功,チームの成果が表彰されました,30000,🏆,success,0.8,true
event-052,event,転職活動,挑戦,新しい可能性を探します,-9000,🧭,,1,true
event-053,event,転職成功,新しい職場,希望していた仕事に決まりました,28000,✨,office,0.8,true
event-054,event,職場の歓迎会,仲間,新しい仲間に迎えられました,-6000,🥳,friends,1,true
event-055,event,仕事の失敗,出費,失敗から大切なことを学びました,-12000,😓,expense,0.9,true
event-056,event,臨時の手当,収入,思いがけない手当が出ました,11000,💴,,1,true
event-057,event,仕事の依頼,副収入,得意なことを頼まれました,19000,📨,freelance,1,true
event-058,event,勉強会の講師,副収入,経験を人に伝えました,24000,🧑‍🏫,freelance,0.8,true
event-059,event,独立の準備,挑戦,自分の看板を考え始めました,-13000,🚀,,0.8,true
event-060,event,プロジェクト成功,大金を獲得,挑戦が実を結びました,40000,🏅,success,0.6,true
event-061,event,小さな投資,資産,未来のために少し投資しました,-10000,🌱,,1,true
event-062,event,投資の配当,資産,コツコツ続けた成果が出ました,15000,📈,,0.9,true
event-063,event,投資の損失,出費,相場の変化で損をしました,-18000,📉,expense,0.8,true
event-064,event,貯金の習慣,生活,将来に備えて支出を見直しました,5000,🐷,,1,true
event-065,event,急な借り入れ,借金,急場をしのぐために借り入れました,70000,💳,,0.8,true
event-066,event,借金の返済,借金,約束した返済日が来ました,-50000,🧾,expense,0.8,true
event-067,event,利息の支払い,借金,借りたお金の利息を支払いました,-12000,📄,expense,0.8,true
event-068,event,返済計画,生活,計画を立てて暮らしを整えます,-6000,📋,,1,true
event-069,event,臨時収入で返済,借金,思わぬ収入で返済が進みました,22000,💴,,0.9,true
event-070,event,財布を落とす,出費,うっかり大切なものをなくしました,-9000,👛,expense,0.8,true
event-071,event,保険金の受け取り,収入,備えが役に立ちました,18000,🛡️,,0.8,true
event-072,event,病院の診察,出費,体調を整えるために受診しました,-8000,🏥,expense,1,true
event-073,event,健康診断,健康,早めに体の状態を確認しました,-4000,🩺,,1,true
event-074,event,運動の成果,健康,続けた運動で元気になりました,7000,💪,,1,true
event-075,event,歯の治療,出費,健康のために治療しました,-10000,🦷,expense,1,true
event-076,event,健康食品,大きな買い物,体を思って新しい習慣を始めました,-5000,🥗,,1,true
event-077,event,友人の結婚式,お祝い,大切な人を祝いました,-10000,💐,wedding,1,true
event-078,event,結婚記念日,家族,思い出の日を家族で祝いました,-8000,💍,wedding,0.8,true
event-079,event,赤ちゃんのお祝い,家族,新しい命の誕生を喜びました,-6000,🍼,baby,0.8,true
event-080,event,家族旅行,思い出,家族で忘れられない旅をしました,-22000,🚗,,0.8,true
event-081,event,家具の修理,出費,長く使う家具を直しました,-7000,🔨,repair,1,true
event-082,event,水道の故障,出費,急な設備トラブルに対応しました,-13000,🚰,repair,1,true
event-083,event,スマホの買い替え,大きな買い物,生活に必要な道具を新調しました,-16000,📱,,0.9,true
event-084,event,冷蔵庫の買い替え,大きな買い物,暮らしの道具を新しくしました,-45000,🧊,,0.7,true
event-085,event,エアコン修理,出費,暑さの前に設備を直しました,-18000,❄️,repair,0.8,true
event-086,event,ビルを購入,大きな買い物,大きな決断で新しい資産を得ました,-180000,🏙️,home,0.25,true
event-087,event,ビルの改装,大きな買い物,建物を使いやすく整えました,-90000,🏗️,home,0.3,true
event-088,event,テナント契約,資産,新しい仕事の場所が決まりました,35000,🏢,success,0.5,true
event-089,event,家賃収入,副収入,所有する部屋から家賃が入りました,28000,🏠,home,0.7,true
event-090,event,家賃の滞納,出費,予定していた収入が遅れました,-9000,🧾,expense,0.7,true
event-091,event,土地を購入,大きな買い物,未来のための土地を手に入れました,-120000,🗺️,home,0.3,true
event-092,event,土地の売却,資産,大切にしてきた土地を売りました,85000,📜,,0.35,true
event-093,event,家の修繕,住まい,安心して暮らせるよう直しました,-30000,🏠,repair,0.7,true
event-094,event,屋根の工事,住まい,雨から家族を守る工事をしました,-38000,🔧,repair,0.6,true
event-095,event,家具付きの部屋,住まい,新しい暮らしを始めました,-24000,🛏️,home,0.8,true
event-096,event,引っ越し祝い,いいこと,新居で仲間とお祝いしました,17000,🎀,home,1,true
event-097,event,家庭菜園,いいこと,育てた野菜を収穫しました,12000,🥕,,1,true
event-098,event,近所の清掃,仲間,町をきれいにして感謝されました,5000,🧹,,1,true
event-099,event,商店街の福引,運だめし,思いがけない景品が当たりました,15000,🎁,,0.9,true
event-100,event,地域の役員,仲間,町のために力を尽くしました,-4000,🏘️,,0.9,true
event-101,event,フリーマーケット,副収入,不要な品が誰かの役に立ちました,10000,🛍️,freelance,1,true
event-102,event,手作り販売,副収入,好きな作品が売れました,14000,🧵,freelance,1,true
event-103,event,ネットショップ開設,挑戦,小さな商売を始めました,-12000,📦,,0.8,true
event-104,event,注文が殺到,大成功,努力が大きな反響を呼びました,36000,📣,success,0.6,true
event-105,event,在庫の処分,出費,余った商品を整理しました,-15000,📦,expense,0.8,true
event-106,event,広告を出す,自己投資,新しいお客さまに知ってもらいます,-11000,📢,,0.8,true
event-107,event,共同企画,仲間,仲間と力を合わせました,21000,🤝,friends,0.9,true
event-108,event,イベント出店,副収入,直接お客さまと出会いました,16000,⛺,freelance,1,true
event-109,event,作品展,大成功,作品を多くの人に見てもらいました,20000,🖼️,success,0.8,true
event-110,event,取材を受ける,チャンス,活動が記事になりました,13000,📰,,0.8,true
event-111,event,宝くじ売り場,運だめし,夢を買ってみました,-3000,🎟️,,1,true
event-112,event,幸運のお守り,運だめし,旅先でお守りを買いました,-2000,🍀,,1,true
event-113,event,思わぬ幸運,いいこと,偶然が良い結果につながりました,20000,✨,,0.8,true
event-114,event,落とし物を届ける,いいこと,親切が誰かを助けました,4000,🧡,,1,true
event-115,event,昔の友人,仲間,久しぶりの再会を喜びました,9000,📨,friends,1,true
event-116,event,同窓会,思い出,昔の仲間と未来を語りました,-7000,🎓,friends,1,true
event-117,event,先生への贈り物,お祝い,感謝の気持ちを伝えました,-5000,🎁,,1,true
event-118,event,後輩を応援,仲間,誰かの一歩を後押ししました,-6000,🌟,,1,true
event-119,event,ボランティア,仲間,誰かの役に立つ時間を過ごしました,-3000,🫶,friends,1,true
event-120,event,感謝の手紙,いいこと,気持ちを言葉にしました,5000,💌,,1,true
event-121,event,趣味の道具,大きな買い物,好きなことの道具を新調しました,-12000,🎒,,1,true
event-122,event,楽器の練習,趣味,練習の成果が少し出ました,7000,🎹,,1,true
event-123,event,音楽ライブ,思い出,心を動かす音楽を聴きました,-9000,🎶,,1,true
event-124,event,映画の脚本,挑戦,物語を形にし始めました,-6000,🎬,,0.9,true
event-125,event,映画祭で受賞,大成功,作品が高く評価されました,32000,🎞️,success,0.55,true
event-126,event,絵本を出版,大成功,長く温めた作品が本になりました,27000,📖,success,0.55,true
event-127,event,庭に小さな池,大きな買い物,家の庭を楽しく整えました,-17000,🐟,,0.7,true
event-128,event,キャンプ道具,大きな買い物,自然を楽しむ準備をしました,-22000,⛺,,0.7,true
event-129,event,星空観察,思い出,静かな夜に星を眺めました,4000,🌌,,1,true
event-130,event,早起きの習慣,健康,時間の使い方が変わりました,5000,🌅,,1,true
event-131,event,睡眠の改善,健康,体調が少し良くなりました,6000,🛌,,1,true
event-132,event,健康診断で安心,健康,早めの確認で安心できました,8000,🩺,,1,true
event-133,event,病気の予防,出費,予防のために検査を受けました,-7000,🛡️,,1,true
event-134,event,スポーツ大会,チャンス,仲間と最後まで走り切りました,11000,🏃,success,0.9,true
event-135,event,チーム優勝,大成功,みんなで力を合わせて勝ちました,24000,🏆,success,0.7,true
event-136,event,道具の破損,出費,大切な道具が壊れました,-11000,🧰,repair,0.9,true
event-137,event,修理名人の助け,いいこと,上手な人に直してもらいました,7000,🔨,friends,1,true
event-138,event,雨漏り発見,出費,早めに家の傷みに気づきました,-16000,☔,repair,0.8,true
event-139,event,家族の相談,家族,みんなで未来を話し合いました,5000,👨‍👩‍👧,,1,true
event-140,event,子どもの入学,家族,新しい門出をお祝いしました,-18000,🎒,baby,0.8,true
event-141,event,子どもの卒業,家族,成長の節目を喜びました,12000,🎓,,0.8,true
event-142,event,家族の記念写真,思い出,大切な瞬間を残しました,-5000,📸,,1,true
event-143,event,親への贈り物,家族,日頃の感謝を伝えました,-9000,🎁,,1,true
event-144,event,親からの贈り物,家族,思いがけない応援をもらいました,15000,🎀,,0.9,true
event-145,event,遠方への帰省,思い出,久しぶりに故郷へ帰りました,-14000,🚄,,0.9,true
event-146,event,家族会議,生活,暮らしのルールを見直しました,4000,🗣️,,1,true
event-147,event,新しい家族の誕生日,家族,みんなで誕生日を祝いました,-7000,🎂,,1,true
event-148,event,家族の応援,仲間,家族が背中を押してくれました,10000,📣,friends,1,true
event-149,event,思い出のアルバム,思い出,これまでの人生を振り返りました,-4000,📔,,1,true
event-150,event,未来の約束,チャンス,次の目標をみんなで決めました,9000,🌟,,1,true
money-151,money,給料日,収入,毎月の給料を受け取りました,30000,💴,,1.5,true
money-152,money,特別給料,収入,がんばりが給与に反映されました,45000,💴,,0.8,true
money-153,money,家賃収入,副収入,所有する部屋から家賃が入りました,28000,🏠,home,0.8,true
money-154,money,ビルの家賃収入,副収入,ビルのテナントから家賃が入りました,65000,🏙️,home,0.35,true
money-155,money,配当金,資産,保有している資産から配当が出ました,18000,📈,,0.8,true
money-156,money,臨時ボーナス,収入,思いがけないボーナスが出ました,50000,🎁,,0.7,true
money-157,money,副業の売上,副収入,続けてきた副業の売上が入りました,22000,💻,freelance,0.8,true
money-158,money,講師料,副収入,経験を伝えた報酬を受け取りました,26000,🧑‍🏫,freelance,0.7,true
money-159,money,印税,副収入,作品が読まれて収入になりました,30000,📖,,0.5,true
money-160,money,退職金の積み立て,収入,長年の積み立てを受け取りました,55000,💰,,0.45,true
money-161,money,返金を受ける,収入,払いすぎていたお金が戻りました,9000,↩️,,0.9,true
money-162,money,保険の給付金,収入,備えが役立ち給付金を受け取りました,24000,🛡️,,0.7,true
money-163,money,納税の還付,収入,納めすぎた税金が戻りました,13000,🧾,,0.8,true
money-164,money,報奨金,収入,長い努力が評価されました,35000,🏅,success,0.6,true
money-165,money,紹介料,副収入,人と仕事をつないだお礼を受け取りました,12000,🤝,friends,0.9,true
money-166,money,家賃の更新料,収入,契約更新で収入が入りました,20000,🏠,home,0.6,true
money-167,money,農作物の売上,副収入,育てた作物を販売しました,16000,🌾,freelance,0.7,true
money-168,money,写真の使用料,副収入,撮った写真が広告に使われました,14000,📷,freelance,0.7,true
money-169,money,臨時の手当,収入,予定外の手当を受け取りました,17000,💴,,0.9,true
money-170,money,大きな契約金,収入,長く準備した契約がまとまりました,80000,✍️,success,0.3,true
chance-171,chance,宝くじに当選,運だめし,大きな幸運が到来しました,40000,🎟️,lottery,1,true
chance-172,chance,友人の助け,いいこと,友人たちが力を貸してくれました,18000,🤝,friends,1,true
chance-173,chance,予定外の修理,出費,予想外の修理費が必要になりました,-26000,🔧,repair,1,true
chance-174,chance,とっておきの副収入,副収入,思いがけない仕事が舞い込みました,30000,💻,freelance,1,true
chance-175,chance,うっかり出費,出費,予定外の買い物をしてしまいました,-14000,🛍️,expense,1,true
chance-176,chance,大当たり,運だめし,幸運が重なり大金を得ました,70000,🎉,lottery,0.7,true
chance-177,chance,小当たり,運だめし,ちょっとした幸運がありました,12000,🍀,lottery,1.2,true
chance-178,chance,財布の中から発見,いいこと,忘れていたお金を見つけました,6000,👛,,1,true
chance-179,chance,臨時の請求,出費,忘れていた請求が届きました,-18000,🧾,expense,1,true
chance-180,chance,仕事の依頼,副収入,得意なことを頼まれました,24000,📨,freelance,1,true
chance-181,chance,投資の利益,資産,投資が良い結果になりました,32000,📈,success,0.7,true
chance-182,chance,投資の損失,出費,市場の変化で損をしました,-32000,📉,expense,0.7,true
chance-183,chance,家賃の臨時収入,副収入,空いていた部屋がすぐ決まりました,36000,🏠,home,0.7,true
chance-184,chance,ビルの大規模修繕,出費,所有する建物の修繕が必要になりました,-70000,🏗️,repair,0.35,true
chance-185,chance,宝物を売る,資産,大切な品を必要な人へ譲りました,28000,💎,,0.6,true
chance-186,chance,古い借金の返済,借金,昔の借金を返す日が来ました,-45000,📄,expense,0.7,true
chance-187,chance,思わぬ贈り物,いいこと,遠くの人から贈り物が届きました,16000,🎁,friends,0.8,true
chance-188,chance,イベントの賞金,大成功,参加した大会で賞金を得ました,26000,🏆,success,0.7,true
chance-189,chance,急なキャンセル,出費,予定変更で費用が発生しました,-12000,📅,expense,0.9,true
chance-190,chance,新規契約,大成功,大きな仕事が決まりました,55000,✍️,success,0.5,true
chance-191,chance,契約の違約金,出費,契約の変更で支払いが必要になりました,-38000,📜,expense,0.5,true
chance-192,chance,家族からの応援,家族,家族が応援してくれました,20000,🏠,friends,0.8,true
chance-193,chance,結婚式のご祝儀,お祝い,お祝いの席で贈り物を受け取りました,15000,💍,wedding,0.8,true
chance-194,chance,赤ちゃんのお祝い,家族,新しい命をみんなで喜びました,12000,🍼,baby,0.8,true
chance-195,chance,旅先の幸運,運だめし,旅の途中で良いことがありました,18000,🗺️,,0.9,true
chance-196,chance,旅先のトラブル,出費,旅先で思わぬ出費がありました,-15000,🧳,expense,0.9,true
chance-197,chance,大きな成功,大金を獲得,長年の挑戦が実を結びました,100000,🏅,success,0.3,true
chance-198,chance,大きな失敗,出費,計画が外れて大きな損失になりました,-60000,⚠️,expense,0.35,true
chance-199,chance,幸運の連鎖,運だめし,いくつもの幸運が重なりました,45000,✨,lottery,0.5,true
chance-200,chance,人生の大逆転,大成功,思い切った行動が未来を変えました,85000,🚀,success,0.3,true
